x,B,f,A0,Atheta,A0`, energy, f`
5.766979,-0.965264,0.214512,-0.245212,-16.578351,0.067200,0.670648,0.338686
5.776126,-0.964221,0.217621,-0.244591,-16.629281,0.068635,0.672539,0.341295
5.785273,-0.963152,0.220755,-0.243957,-16.680236,0.070085,0.674395,0.343882
5.794420,-0.962058,0.223912,-0.243309,-16.731214,0.071549,0.676212,0.346447
5.803566,-0.960938,0.227093,-0.242648,-16.782214,0.073026,0.677990,0.348990
5.812713,-0.959793,0.230296,-0.241973,-16.833234,0.074517,0.679726,0.351508
5.821860,-0.958621,0.233523,-0.241285,-16.884273,0.076022,0.681418,0.354002
5.831006,-0.957422,0.236772,-0.240582,-16.935329,0.077538,0.683064,0.356471
5.840153,-0.956196,0.240044,-0.239866,-16.986400,0.079067,0.684663,0.358914
5.849300,-0.954942,0.243338,-0.239136,-17.037486,0.080608,0.686212,0.361330
5.858447,-0.953661,0.246654,-0.238392,-17.088583,0.082159,0.687709,0.363719
5.867593,-0.952351,0.249991,-0.237633,-17.139690,0.083722,0.689153,0.366080
5.876740,-0.951012,0.253351,-0.236860,-17.190807,0.085295,0.690542,0.368412
5.885887,-0.949644,0.256731,-0.236073,-17.241930,0.086877,0.691873,0.370715
5.895034,-0.948247,0.260132,-0.235271,-17.293058,0.088469,0.693145,0.372988
5.904180,-0.946820,0.263554,-0.234454,-17.344189,0.090069,0.694356,0.375230
5.913327,-0.945363,0.266996,-0.233623,-17.395322,0.091678,0.695505,0.377441
5.922474,-0.943874,0.270459,-0.232777,-17.446454,0.093294,0.696588,0.379619
5.931620,-0.942355,0.273941,-0.231916,-17.497583,0.094917,0.697605,0.381765
5.940767,-0.940805,0.277442,-0.231041,-17.548708,0.096547,0.698554,0.383878
5.949914,-0.939223,0.280963,-0.230150,-17.599827,0.098182,0.699433,0.385957
5.959061,-0.937609,0.284503,-0.229245,-17.650937,0.099823,0.700240,0.388002
5.968207,-0.935962,0.288061,-0.228324,-17.702037,0.101468,0.700973,0.390011
5.977354,-0.934282,0.291637,-0.227389,-17.753125,0.103117,0.701632,0.391985
5.986501,-0.932570,0.295231,-0.226438,-17.804198,0.104769,0.702213,0.393922
5.995648,-0.930824,0.298843,-0.225472,-17.855254,0.106424,0.702717,0.395823
6.004794,-0.929044,0.302472,-0.224491,-17.906291,0.108081,0.703140,0.397686
6.013941,-0.927230,0.306118,-0.223495,-17.957308,0.109738,0.703483,0.399512
6.023088,-0.925381,0.309781,-0.222483,-18.008301,0.111397,0.703742,0.401299
6.032234,-0.923497,0.313459,-0.221457,-18.059269,0.113055,0.703918,0.403047
6.041381,-0.921579,0.317154,-0.220415,-18.110209,0.114712,0.704008,0.404756
6.050528,-0.919625,0.320864,-0.219358,-18.161120,0.116367,0.704011,0.406424
6.059675,-0.917635,0.324588,-0.218287,-18.211998,0.118020,0.703926,0.408053
6.068821,-0.915609,0.328328,-0.217199,-18.262841,0.119670,0.703752,0.409641
6.077968,-0.913547,0.332082,-0.216097,-18.313648,0.121316,0.703487,0.411187
6.087115,-0.911448,0.335850,-0.214980,-18.364416,0.122958,0.703131,0.412692
6.096262,-0.909312,0.339631,-0.213848,-18.415142,0.124593,0.702682,0.414154
6.105408,-0.907139,0.343426,-0.212701,-18.465824,0.126223,0.702140,0.415574
6.114555,-0.904928,0.347234,-0.211539,-18.516459,0.127846,0.701504,0.416952
6.123702,-0.902680,0.351054,-0.210362,-18.567045,0.129461,0.700772,0.418286
6.132848,-0.900394,0.354885,-0.209171,-18.617580,0.131067,0.699944,0.419576
6.141995,-0.898070,0.358729,-0.207965,-18.668061,0.132664,0.699020,0.420823
6.151142,-0.895707,0.362584,-0.206744,-18.718486,0.134251,0.697998,0.422025
6.160289,-0.893306,0.366449,-0.205509,-18.768851,0.135828,0.696878,0.423183
6.169435,-0.890866,0.370325,-0.204259,-18.819155,0.137392,0.695660,0.424296
6.178582,-0.888386,0.374211,-0.202995,-18.869394,0.138944,0.694343,0.425364
6.187729,-0.885868,0.378106,-0.201717,-18.919567,0.140483,0.692927,0.426386
6.196875,-0.883310,0.382011,-0.200425,-18.969670,0.142008,0.691411,0.427363
6.206022,-0.880713,0.385924,-0.199119,-19.019701,0.143518,0.689795,0.428294
6.215169,-0.878076,0.389846,-0.197800,-19.069657,0.145012,0.688079,0.429179
6.224316,-0.875399,0.393775,-0.196467,-19.119535,0.146490,0.686264,0.430018
6.233462,-0.872682,0.397712,-0.195120,-19.169333,0.147951,0.684348,0.430811
6.242609,-0.869925,0.401656,-0.193760,-19.219048,0.149394,0.682333,0.431557
6.251756,-0.867128,0.405606,-0.192387,-19.268677,0.150818,0.680217,0.432257
6.260903,-0.864291,0.409563,-0.191001,-19.318218,0.152223,0.678002,0.432909
6.270049,-0.861413,0.413526,-0.189602,-19.367667,0.153608,0.675688,0.433515
6.279196,-0.858495,0.417494,-0.188191,-19.417022,0.154971,0.673275,0.434074
6.288343,-0.855536,0.421466,-0.186767,-19.466281,0.156313,0.670763,0.434586
6.297489,-0.852537,0.425443,-0.185332,-19.515439,0.157633,0.668153,0.435051
6.306636,-0.849497,0.429425,-0.183884,-19.564495,0.158930,0.665446,0.435469
6.315783,-0.846417,0.433410,-0.182424,-19.613446,0.160203,0.662642,0.435840
6.324930,-0.843297,0.437398,-0.180953,-19.662288,0.161451,0.659742,0.436163
6.334076,-0.840135,0.441388,-0.179471,-19.711019,0.162674,0.656747,0.436440
6.343223,-0.836934,0.445381,-0.177977,-19.759636,0.163872,0.653657,0.436670
6.352370,-0.833692,0.449376,-0.176473,-19.808136,0.165043,0.650474,0.436852
6.361517,-0.830409,0.453373,-0.174958,-19.856516,0.166186,0.647199,0.436988
6.370663,-0.827086,0.457370,-0.173433,-19.904774,0.167302,0.643832,0.437077
6.379810,-0.823723,0.461368,-0.171898,-19.952906,0.168390,0.640375,0.437119
6.388957,-0.820321,0.465367,-0.170352,-20.000909,0.169449,0.636828,0.437114
6.398103,-0.816878,0.469364,-0.168798,-20.048781,0.170478,0.633194,0.437063
6.407250,-0.813395,0.473362,-0.167234,-20.096519,0.171477,0.629474,0.436966
6.416397,-0.809873,0.477358,-0.165661,-20.144120,0.172446,0.625669,0.436822
6.425544,-0.806311,0.481353,-0.164079,-20.191580,0.173383,0.621780,0.436633
6.434690,-0.802710,0.485345,-0.162489,-20.238898,0.174288,0.617808,0.436398
6.443837,-0.799070,0.489336,-0.160891,-20.286069,0.175162,0.613757,0.436117
6.452984,-0.795391,0.493323,-0.159285,-20.333092,0.176002,0.609626,0.435791
6.462131,-0.791674,0.497308,-0.157671,-20.379963,0.176810,0.605418,0.435419
6.471277,-0.787918,0.501288,-0.156050,-20.426679,0.177584,0.601135,0.435003
6.480424,-0.784124,0.505265,-0.154423,-20.473238,0.178324,0.596778,0.434543
6.489571,-0.780293,0.509238,-0.152788,-20.519636,0.179029,0.592349,0.434038
6.498717,-0.776424,0.513205,-0.151147,-20.565871,0.179700,0.587849,0.433489
6.507864,-0.772518,0.517168,-0.149501,-20.611940,0.180336,0.583282,0.432896
6.517011,-0.768575,0.521124,-0.147849,-20.657840,0.180936,0.578648,0.432260
6.526158,-0.764596,0.525075,-0.146191,-20.703568,0.181501,0.573951,0.431581
6.535304,-0.760581,0.529019,-0.144528,-20.749122,0.182029,0.569190,0.430860
6.544451,-0.756531,0.532957,-0.142861,-20.794498,0.182521,0.564370,0.430096
6.553598,-0.752445,0.536887,-0.141189,-20.839694,0.182977,0.559492,0.429290
